id,split,semantic_id,pattern_id,group_tag,role,text
54,train,sem_0052,watch:front_time,para4,order,"Today, I observe a movie."
55,train,sem_0124,eat:going_to,para3,tense,We are going to eat a sandwich.
56,train,sem_0135,call:decl,para3,lex,You text my father.
57,train,sem_seed_learn_past_cont,learn:past_cont,singleton,single-seed,She was readding a song.
58,train,sem_0109,call:decl,para3,base,He text my mother.
59,train,sem_0104,acq:future_will,para3,tense,We will pick a movie.
60,train,sem_0148,call:decl,para3,lex,They call my teacher.
61,train,sem_0183,move:decl,para3,base,We arrive at the city.
62,train,sem_0268,social:future_will,para3,tense,They will help a friend.
63,train,sem_0051,watch:decl,para4,lex,She see a film.
64,train,sem_seed_move_ynq_do,move:ynq_do,singleton,single-seed,do I run to the city?
65,train,sem_single_0916,eat:past_simple,singleton,single,You had dinner.
66,train,sem_single_0975,call:decl,singleton,single,We phone my mother.
67,train,sem_seed_social_modal_can,social:modal_can,singleton,single-seed,We can choose a book.
68,train,sem_0041,social:present_cont,para4,tense,I am chooseing a game.
69,train,sem_0217,watch:decl,para3,lex,You view a game.
70,train,sem_0228,eat:front_place,para3,order,"at the town, She eat dinner."
71,train,sem_0006,move:front_place,para4,order,"to the town, I walk."
72,train,sem_seed_watch_front_time,watch:front_time,singleton,single-seed,"Today, They see a movie."
73,train,sem_0205,pref:past_simple,para3,tense,You enjoyed lunch.
74,train,sem_0190,pref:decl,para3,base,He prefer a book.
75,train,sem_seed_eat_emph_do,eat:emph_do,singleton,single-seed,You did have pizza.
76,train,sem_seed_acq_comparative,acq:comparative,singleton,single-seed,We prefer a ticket to that.
77,train,sem_single_0936,watch:ynq_do,singleton,single,do I view a film?
78,train,sem_0296,pref:decl,para3,base,I prefer a song.
79,train,sem_0181,drink:front_place,para3,order,"in the cafe, He sip water."
80,train,sem_0000,eat:decl,para4,base,You have a sandwich.
81,train,sem_single_0997,acq:negative_simple,singleton,single,I do not purchase a movie.
82,train,sem_0293,move:decl,para3,lex,We come to the library.
83,train,sem_0118,learn:present_cont,para3,tense,We are learning a song.
84,train,sem_0091,eat:front_time,para3,order,"Yesterday, I order dinner."
85,train,sem_0137,learn:decl,para3,base,I review a novel.
86,train,sem_seed_pref_wh_what,pref:wh_what,singleton,single-seed,What do We prefer?
87,train,sem_seed_move_front_time,move:front_time,singleton,single-seed,"Today, We come to home."
88,train,sem_0063,watch:front_time,para3,order,"Yesterday, We watch a game."
89,train,sem_0214,move:perfect_pr,para3,tense,He has came to the station.
90,train,sem_0173,acq:decl,para3,base,They pick a novel.
91,train,sem_seed_learn_front_place,learn:front_place,singleton,single-seed,"in the office, We practice music."
92,train,sem_0048,eat:front_place,para4,order,"in the library, They have pizza."
93,train,sem_0189,move:decl,para3,base,You return at the cafe.
94,train,sem_0055,social:perfect_pr,para4,tense,They have finished a game.
95,train,sem_single_0994,social:wh_when,singleton,single,When does He use?
96,train,sem_single_0973,learn:going_to,singleton,single,I am going to review a book.
97,train,sem_seed_move_wh_when,move:wh_when,singleton,single-seed,When do You travel?
98,train,sem_0291,social:decl,para3,base,They bring a ticket.
99,train,sem_0085,pref:decl,para3,base,They love a sandwich.
100,train,sem_single_0949,social:perfect_pr,singleton,single,I have took a sandwich.
101,train,sem_0308,pref:decl,para3,lex,They like music.
102,train,sem_0265,drink:decl,para3,base,She have pizza.
103,train,sem_0151,social:decl,para3,base,They choose a game.
104,train,sem_0156,drink:decl,para3,lex,They drink juice.
105,train,sem_seed_drink_modal_can,drink:modal_can,singleton,single-seed,She can drink tea.
106,train,sem_0105,call:front_time,para3,order,"Now, She contact my father."
107,train,sem_0129,move:front_place,para3,order,"at the station, You visit."
108,train,sem_0090,eat:decl,para3,lex,I eat a sandwich.
109,train,sem_0068,watch:decl,para3,base,They see a game.
110,train,sem_0001,move:modal_can,para4,tense,You can return at school.
111,train,sem_0030,learn:front_place,para4,order,"in the cafe, We study a song."
112,train,sem_0147,watch:front_time,para3,order,"Today, He observe a movie."
113,train,sem_seed_eat_past_cont,eat:past_cont,singleton,single-seed,He was eatting a sandwich.
114,train,sem_seed_pref_past_cont,pref:past_cont,singleton,single-seed,You were loveing water.
115,train,sem_seed_move_future_will,move:future_will,singleton,single-seed,You will come to the park.
116,train,sem_0213,pref:decl,para3,lex,We enjoy juice.
117,train,sem_0200,watch:front_place,para3,order,"in the city, They see a show."
118,train,sem_seed_eat_decl,eat:decl,singleton,single-seed,We have a sandwich.
119,train,sem_seed_watch_conditional_if,watch:conditional_if,singleton,single-seed,"If it is warm, He see a show."
120,train,sem_0046,acq:perfect_pr,para4,tense,I have ordered pizza.
121,train,sem_0054,social:front_time,para4,order,"Now, They help my mother."
122,train,sem_0037,eat:decl,para4,lex,We eat dinner.
123,train,sem_0174,acq:decl,para3,base,I get a phone.
124,train,sem_0087,play:decl,para3,base,They play a song.
125,train,sem_single_0898,call:perfect_pr,singleton,single,She has phoned my mother.
126,train,sem_seed_social_wh_when,social:wh_when,singleton,single-seed,When does He bring?
127,train,sem_0103,call:decl,para3,base,They call my father.
128,train,sem_0164,drink:modal_can,para3,tense,We can drink coffee.
129,train,sem_seed_call_front_place,call:front_place,singleton,single-seed,"at home, She call my father."
130,train,sem_seed_call_because_cause,call:because_cause,singleton,single-seed,"They call my father, because it is warm."
131,train,sem_0266,acq:decl,para3,lex,You buy a film.
132,train,sem_0153,pref:decl,para3,base,We love lunch.
133,train,sem_0256,call:decl,para3,base,They phone my father.
134,train,sem_seed_play_imperative,play:imperative,singleton,single-seed,Please play a song.
135,train,sem_0100,pref:decl,para3,lex,We like a movie.
136,train,sem_seed_watch_comparative,watch:comparative,singleton,single-seed,This book is better than that film.
137,train,sem_seed_acq_emph_do,acq:emph_do,singleton,single-seed,They did buy a computer.
138,train,sem_seed_pref_emph_do,pref:emph_do,singleton,single-seed,We do prefer a sandwich.
139,train,sem_0081,play:decl,para3,base,I play a song.
140,train,sem_0101,move:decl,para3,base,They arrive at the station.
141,train,sem_0024,play:decl,para4,base,You play music.
142,train,sem_single_0904,social:conditional_if,singleton,single,"If it is warm, You meet a friend."
143,train,sem_seed_drink_wh_where,drink:wh_where,singleton,single-seed,Where do You drink?
144,train,sem_0156,drink:front_place,para3,order,"at school, They sip water."
145,train,sem_single_0910,social:front_time,singleton,single,"Yesterday, She choose a movie."
146,train,sem_0123,move:front_place,para3,order,"at the cafe, We visit."
147,train,sem_seed_play_emph_do,play:emph_do,singleton,single-seed,We did play music.
148,train,sem_0237,move:front_time,para3,order,"Now, We travel to the station."
149,train,sem_0132,drink:decl,para3,base,You sip juice.
150,train,sem_0113,watch:going_to,para3,tense,He is going to observe a show.
151,train,sem_0207,watch:decl,para3,base,You see a movie.
152,train,sem_0100,pref:front_time,para3,order,"Yesterday, We prefer a film."
153,train,sem_single_0993,social:front_place,singleton,single,"in the library, I take pizza."
154,train,sem_seed_learn_wh_when,learn:wh_when,singleton,single-seed,When does He review?
155,train,sem_seed_pref_front_time,pref:front_time,singleton,single-seed,"Today, We like a show."
156,train,sem_single_0901,drink:negative_simple,singleton,single,You do not drink tea.
157,train,sem_0065,eat:decl,para3,lex,He order dinner.
158,train,sem_seed_learn_negative_simple,learn:negative_simple,singleton,single-seed,I do not study a novel.
159,train,sem_0059,watch:decl,para3,base,He watch a game.
160,train,sem_0009,call:front_place,para4,order,"in the station, We text my teacher."
161,train,sem_seed_pref_going_to,pref:going_to,singleton,single-seed,They are going to like a novel.
162,train,sem_seed_move_wh_where,move:wh_where,singleton,single-seed,Where do They jog?
163,train,sem_seed_acq_past_cont,acq:past_cont,singleton,single-seed,They were purchasing a computer.
164,train,sem_0153,pref:front_place,para3,order,"at the office, We love lunch."
165,train,sem_0142,move:decl,para3,lex,You return at home.
166,train,sem_0164,drink:decl,para3,lex,We sip tea.
167,train,sem_0044,learn:decl,para4,base,He read a novel.
168,train,sem_0030,learn:decl,para4,base,We study a song.
169,train,sem_single_0932,drink:wh_when,singleton,single,When does She have?
170,train,sem_0219,acq:decl,para3,base,You purchase a game.
171,train,sem_0089,acq:modal_can,para3,tense,I can pick a sandwich.
172,train,sem_seed_drink_comparative,drink:comparative,singleton,single-seed,This movie is better than that town.
173,train,sem_0006,move:present_cont,para4,tense,I am walking to the town.
174,train,sem_seed_call_wh_when,call:wh_when,singleton,single-seed,When does She text?
175,train,sem_seed_social_conditional_if,social:conditional_if,singleton,single-seed,"If it is warm, They help my father."
176,train,sem_seed_move_conditional_if,move:conditional_if,singleton,single-seed,"If it is warm, They visit at the park."
177,train,sem_0124,eat:decl,para3,base,We eat a sandwich.
178,train,sem_0277,call:decl,para3,lex,He call a friend.
179,train,sem_single_0924,move:imperative,singleton,single,Please run to the city.
180,train,sem_0011,pref:decl,para4,base,She love a song.
181,train,sem_0110,acq:front_time,para3,order,"Today, They get a movie."
182,train,sem_0077,move:modal_can,para3,tense,You can walk to the park.
183,train,sem_0261,move:decl,para3,lex,I return at the library.
184,train,sem_0065,eat:decl,para3,base,He have lunch.
185,train,sem_single_0897,acq:past_simple,singleton,single,They bought a movie.
186,train,sem_0180,social:decl,para3,base,I take a ticket.
187,train,sem_0082,learn:decl,para3,base,He practice music.
188,train,sem_0293,move:front_time,para3,order,"Now, We travel to school."
189,train,sem_seed_drink_wh_what,drink:wh_what,singleton,single-seed,What do I sip?
190,train,sem_0039,social:decl,para4,lex,She help a film.
191,train,sem_seed_acq_present_cont,acq:present_cont,singleton,single-seed,I am purchasing a show.
192,train,sem_0008,drink:future_will,para4,tense,He will sip coffee.
193,train,sem_0212,learn:decl,para3,lex,You review music.
194,train,sem_seed_drink_front_time,drink:front_time,singleton,single-seed,"Now, They sip tea."
195,train,sem_0194,move:decl,para3,base,He jog to home.
196,train,sem_0021,call:front_place,para4,order,"in the town, They contact my father."
197,train,sem_0050,pref:decl,para4,base,They like a show.
198,train,sem_seed_play_negative_simple,play:negative_simple,singleton,single-seed,They do not play a song.
199,train,sem_0084,pref:decl,para3,base,She like a film.
200,train,sem_0217,watch:present_cont,para3,tense,You are observing a game.
201,train,sem_seed_play_past_cont,play:past_cont,singleton,single-seed,I was playying music.
202,train,sem_0144,call:decl,para3,base,She contact my teacher.
203,train,sem_0184,call:front_time,para3,order,"Yesterday, They contact my teacher."
204,train,sem_seed_acq_wh_when,acq:wh_when,singleton,single-seed,When do We purchase?
205,train,sem_0004,social:decl,para4,lex,You take a friend.
206,train,sem_single_0961,play:because_cause,singleton,single,"He play a song, because it is warm."
207,train,sem_0104,acq:decl,para3,lex,We order a film.
208,train,sem_0116,call:decl,para3,lex,You phone a friend.
209,train,sem_0077,move:decl,para3,lex,You run to the city.
210,train,sem_0028,learn:front_place,para4,order,"at the library, They read music."
211,train,sem_single_0974,eat:past_simple,singleton,single,She ordered dinner.
212,train,sem_0309,move:past_simple,para3,tense,I arrived at home.
213,train,sem_single_0941,call:negative_simple,singleton,single,They do not call my mother.
214,train,sem_0001,move:front_time,para4,order,"Today, You return at school."
215,train,sem_0075,social:decl,para3,base,She choose coffee.
216,train,sem_seed_eat_negative_simple,eat:negative_simple,singleton,single-seed,You do not have lunch.
217,train,sem_0229,social:front_time,para3,order,"Today, You use a book."
218,train,sem_0117,drink:decl,para3,base,He have pizza.
219,train,sem_seed_watch_emph_do,watch:emph_do,singleton,single-seed,She does see a film.
220,train,sem_0051,watch:decl,para4,base,She view a movie.
221,train,sem_seed_play_perfect_pr,play:perfect_pr,singleton,single-seed,I have played a game.
222,train,sem_0012,social:front_place,para4,order,"in the library, I bring a book."
223,train,sem_single_0998,move:negative_simple,singleton,single,She does not visit at school.
224,train,sem_seed_move_past_simple,move:past_simple,singleton,single-seed,She traveled to the library.
225,train,sem_0169,drink:front_time,para3,order,"Now, I sip juice."
226,train,sem_0095,learn:decl,para3,lex,We read a novel.
227,train,sem_0172,drink:front_place,para3,order,"at home, We sip juice."
228,train,sem_0079,acq:front_place,para3,order,"at the office, We order dinner."
229,train,sem_0223,call:decl,para3,lex,She phone my teacher.
230,train,sem_0171,acq:decl,para3,lex,I purchase a film.
231,train,sem_0179,learn:decl,para3,base,He study a novel.
232,train,sem_seed_social_wh_where,social:wh_where,singleton,single-seed,Where do I help?
233,train,sem_seed_watch_imperative,watch:imperative,singleton,single-seed,Please watch a film.
234,train,sem_single_0915,call:wh_what,singleton,single,What do They call?
235,train,sem_0097,learn:decl,para3,base,They review music.
236,train,sem_0096,drink:decl,para3,base,I drink tea.
237,train,sem_0001,move:decl,para4,base,You return at school.
238,train,sem_0116,call:modal_can,para3,tense,You can contact my teacher.
239,train,sem_0033,social:past_simple,para4,tense,They finished lunch.
240,train,sem_0063,watch:decl,para3,lex,We see a game.
241,train,sem_0102,acq:decl,para3,lex,I purchase a novel.
242,train,sem_0205,pref:decl,para3,base,You enjoy lunch.
243,train,sem_0304,drink:perfect_pr,para3,tense,She has drank juice.
244,train,sem_single_0970,watch:negative_simple,singleton,single,You do not see a game.
245,train,sem_0087,play:present_cont,para3,tense,They are playying a song.
246,train,sem_0098,move:front_place,para3,order,"at the office, She visit."
247,train,sem_single_0966,call:front_time,singleton,single,"Yesterday, He text my father."
248,train,sem_0099,acq:decl,para3,base,She purchase a film.
249,train,sem_seed_drink_negative_simple,drink:negative_simple,singleton,single-seed,He does not sip tea.
250,train,sem_0018,call:future_will,para4,tense,You will text a friend.
251,train,sem_0233,watch:decl,para3,lex,You watch a game.
252,train,sem_0265,drink:future_will,para3,tense,She will have pizza.
253,train,sem_0112,acq:decl,para3,lex,I buy dinner.
254,train,sem_seed_eat_wh_what,eat:wh_what,singleton,single-seed,What do I have?
255,train,sem_0095,learn:decl,para3,base,We learn a book.
256,train,sem_0083,move:past_simple,para3,tense,He returned at the town.
257,train,sem_0105,call:decl,para3,lex,She call my mother.
258,train,sem_0050,pref:decl,para4,lex,They love a show.
259,train,sem_0201,watch:decl,para3,lex,They view a film.
260,train,sem_0060,learn:front_time,para3,order,"Now, She review music."
261,train,sem_0012,social:decl,para4,lex,I meet a novel.
262,train,sem_0154,call:decl,para3,base,You phone my teacher.
263,train,sem_0022,learn:decl,para4,base,She learn a book.
264,train,sem_0223,call:front_place,para3,order,"at the library, She text a friend."
265,train,sem_0054,social:decl,para4,base,They help my mother.
266,train,sem_0033,social:decl,para4,base,They finish lunch.
267,train,sem_seed_play_ynq_do,play:ynq_do,singleton,single-seed,does He play a song?
268,train,sem_0079,acq:decl,para3,base,We order dinner.
269,train,sem_seed_learn_perfect_pr,learn:perfect_pr,singleton,single-seed,We have practiced music.
270,train,sem_0026,play:front_place,para4,order,"in the office, He play a song."
271,train,sem_single_0929,learn:wh_what,singleton,single,What do I study?
272,train,sem_0051,watch:front_time,para4,order,"Now, She view a movie."
273,train,sem_0229,social:decl,para3,base,You use a book.
274,train,sem_0055,social:decl,para4,base,They finish a game.
275,train,sem_seed_play_past_simple,play:past_simple,singleton,single-seed,You played music.
276,train,sem_0300,call:decl,para3,base,I call my teacher.
277,train,sem_0261,move:front_time,para3,order,"Today, I go to school."
278,train,sem_0057,pref:decl,para3,lex,He like lunch.
279,train,sem_seed_play_because_cause,play:because_cause,singleton,single-seed,"I play a game, because it is warm."
280,train,sem_single_0983,drink:wh_where,singleton,single,Where do We drink?
281,train,sem_0286,learn:decl,para3,lex,They learn a book.
282,train,sem_0138,social:decl,para3,lex,She start my teacher.
283,train,sem_single_0953,drink:negative_simple,singleton,single,He does not have dinner.
284,train,sem_0086,call:decl,para3,base,He phone my father.
285,train,sem_0256,call:decl,para3,lex,They contact my mother.
286,train,sem_0133,move:decl,para3,base,She jog to the town.
287,train,sem_0036,move:decl,para4,lex,They travel to the station.
288,train,sem_0300,call:front_place,para3,order,"at the cafe, I call my teacher."
289,train,sem_0227,pref:decl,para3,lex,I like water.
290,train,sem_0102,acq:front_time,para3,order,"Today, I get a book."
291,train,sem_0105,call:decl,para3,base,She contact my father.
292,train,sem_0214,move:decl,para3,base,He come to the station.
293,train,sem_0106,social:decl,para3,base,They take a phone.
294,train,sem_0219,acq:decl,para3,lex,You buy a game.
295,train,sem_0138,social:modal_can,para3,tense,She can meet a friend.
296,train,sem_0016,pref:perfect_pr,para4,tense,We have loveed juice.
297,train,sem_single_0986,call:negative_simple,singleton,single,She does not contact a friend.
298,train,sem_seed_call_past_simple,call:past_simple,singleton,single-seed,We contacted a friend.
299,train,sem_seed_play_conditional_if,play:conditional_if,singleton,single-seed,"If it is warm, We play a game."
300,train,sem_0020,move:decl,para4,lex,She walk to the park.
301,train,sem_0020,move:present_cont,para4,tense,She is coming to the city.
302,train,sem_0078,drink:front_place,para3,order,"in home, He have dinner."
303,train,sem_0173,acq:modal_can,para3,tense,They can pick a novel.
304,train,sem_seed_move_front_place,move:front_place,singleton,single-seed,"to the library, They travel."
305,train,sem_single_0950,eat:perfect_pr,singleton,single,I have had lunch.
306,train,sem_0172,drink:decl,para3,base,We sip juice.
307,train,sem_seed_call_emph_do,call:emph_do,singleton,single-seed,He does phone a friend.
308,train,sem_0002,call:front_place,para4,order,"at the cafe, He call my teacher."
309,train,sem_0197,eat:decl,para3,base,You eat lunch.
310,train,sem_single_0912,call:wh_where,singleton,single,Where do I phone?
311,train,sem_0120,play:decl,para3,lex,We play music.
312,train,sem_0159,social:decl,para3,lex,I bring tea.
313,train,sem_0058,move:decl,para3,base,She travel to home.
314,train,sem_0153,pref:decl,para3,lex,We like dinner.
315,train,sem_0143,learn:front_place,para3,order,"in school, She study music."
316,train,sem_0152,pref:decl,para3,base,He enjoy music.
317,train,sem_seed_eat_front_time,eat:front_time,singleton,single-seed,"Now, You order a sandwich."
318,train,sem_0057,pref:modal_can,para3,tense,He can prefer dinner.
319,train,sem_seed_call_conditional_if,call:conditional_if,singleton,single-seed,"If it is warm, I text my mother."
320,train,sem_seed_call_imperative,call:imperative,singleton,single-seed,Please contact my father.
321,train,sem_0061,learn:decl,para3,base,She practice a novel.
322,train,sem_0303,move:decl,para3,base,She travel to the station.
323,train,sem_seed_drink_emph_do,drink:emph_do,singleton,single-seed,We do drink water.
324,train,sem_seed_eat_wh_when,eat:wh_when,singleton,single-seed,When do I have?
325,train,sem_seed_drink_present_cont,drink:present_cont,singleton,single-seed,He is sipping water.
326,train,sem_0107,drink:front_place,para3,order,"in the city, They have dinner."
327,train,sem_seed_move_modal_can,move:modal_can,singleton,single-seed,I can visit at the office.
328,train,sem_0021,call:decl,para4,lex,They call my mother.
329,train,sem_seed_eat_because_cause,eat:because_cause,singleton,single-seed,"She have lunch, because it is warm."
330,train,sem_0200,watch:decl,para3,lex,They observe a show.
331,train,sem_single_0903,watch:wh_when,singleton,single,When do They watch?
332,train,sem_0227,pref:front_time,para3,order,"Now, I enjoy juice."
333,train,sem_0043,learn:decl,para4,lex,I practice a novel.
334,train,sem_0126,acq:decl,para3,base,He get a computer.
335,train,sem_0066,pref:decl,para3,base,I like pizza.
336,train,sem_0236,pref:decl,para3,lex,She enjoy a novel.
337,train,sem_0130,pref:decl,para3,lex,I prefer music.
338,train,sem_0278,move:decl,para3,base,They arrive at the cafe.
339,train,sem_0028,learn:decl,para4,base,They read music.
340,train,sem_0162,learn:perfect_pr,para3,tense,You have practiced a book.
341,train,sem_seed_call_present_cont,call:present_cont,singleton,single-seed,He is texting my father.
342,train,sem_0263,pref:decl,para3,lex,We prefer juice.
343,train,sem_seed_call_perfect_pr,call:perfect_pr,singleton,single-seed,They have called my father.
344,train,sem_0013,eat:decl,para4,base,You order pizza.
345,train,sem_0065,eat:front_time,para3,order,"Yesterday, He have lunch."
346,train,sem_0003,move:front_place,para4,order,"at the library, We arrive."
347,train,sem_seed_learn_because_cause,learn:because_cause,singleton,single-seed,"You practice a book, because it is warm."
348,train,sem_0032,acq:decl,para4,base,We buy a song.
349,train,sem_0246,eat:future_will,para3,tense,They will eat pizza.
350,train,sem_0223,call:decl,para3,base,She text a friend.
351,train,sem_seed_play_front_time,play:front_time,singleton,single-seed,"Yesterday, She play a game."
352,train,sem_0006,move:decl,para4,lex,I jog to the town.
353,train,sem_0027,pref:future_will,para4,tense,You will like a movie.
354,train,sem_seed_acq_front_time,acq:front_time,singleton,single-seed,"Today, They order a sandwich."
355,train,sem_0138,social:decl,para3,base,She meet a friend.
356,train,sem_0002,call:decl,para4,lex,He contact a friend.
357,train,sem_seed_move_because_cause,move:because_cause,singleton,single-seed,"You come to the library, because it is warm."
358,train,sem_0018,call:decl,para4,lex,You call my teacher.
359,train,sem_0024,play:perfect_pr,para4,tense,You have played music.
360,train,sem_0249,learn:decl,para3,base,I read a book.
361,train,sem_0092,acq:future_will,para3,tense,She will buy a novel.
362,train,sem_seed_watch_front_place,watch:front_place,singleton,single-seed,"in school, We see a show."
363,train,sem_single_0991,acq:front_place,singleton,single,"in school, We purchase a sandwich."
364,train,sem_0060,learn:decl,para3,base,She review music.
365,train,sem_single_0905,acq:emph_do,singleton,single,They do get a computer.
366,train,sem_0019,eat:present_cont,para4,tense,You are ordering a sandwich.
367,train,sem_single_0979,call:past_simple,singleton,single,We texted my mother.
368,train,sem_0115,call:decl,para3,base,They phone my mother.
369,train,sem_seed_social_negative_simple,social:negative_simple,singleton,single-seed,She does not meet a friend.
370,train,sem_0086,call:decl,para3,lex,He call my mother.
371,train,sem_0054,social:decl,para4,lex,They make my father.
372,train,sem_seed_pref_modal_can,pref:modal_can,singleton,single-seed,You can enjoy a novel.
373,train,sem_single_0956,social:wh_when,singleton,single,When do I bring?
374,train,sem_0025,learn:decl,para4,base,He learn a novel.
375,train,sem_0266,acq:past_simple,para3,tense,You picked a movie.
376,train,sem_0039,social:front_place,para4,order,"in the city, She finish a movie."
377,train,sem_0027,pref:decl,para4,lex,You love a film.
378,train,sem_0123,move:decl,para3,base,We visit at the cafe.
379,train,sem_0003,move:perfect_pr,para4,tense,We have arrived at the library.
380,train,sem_0009,call:decl,para4,lex,We phone a friend.
381,train,sem_seed_eat_going_to,eat:going_to,singleton,single-seed,They are going to order pizza.
382,train,sem_0159,social:front_time,para3,order,"Today, I choose coffee."
383,train,sem_0100,pref:decl,para3,base,We prefer a film.
384,train,sem_0183,move:perfect_pr,para3,tense,We have arrived at the city.
385,train,sem_0274,move:modal_can,para3,tense,I can run to the station.
386,train,sem_0041,social:front_time,para4,order,"Yesterday, I choose a game."
387,train,sem_0042,watch:front_place,para4,order,"at the city, I see a game."
388,train,sem_0219,acq:front_time,para3,order,"Now, You purchase a game."
389,train,sem_seed_learn_imperative,learn:imperative,singleton,single-seed,Please read music.
390,train,sem_0220,watch:decl,para3,lex,You observe a show.
391,train,sem_seed_call_past_cont,call:past_cont,singleton,single-seed,She was phoning my mother.
392,train,sem_0021,call:decl,para4,base,They contact my father.
393,train,sem_0071,pref:decl,para3,base,We prefer a sandwich.
394,train,sem_0137,learn:decl,para3,lex,I learn a book.
395,train,sem_seed_learn_past_simple,learn:past_simple,singleton,single-seed,You studied music.
396,train,sem_0020,move:decl,para4,base,She come to the city.
397,train,sem_0303,move:going_to,para3,tense,She is going to travel to the station.
398,train,sem_0069,acq:decl,para3,base,We get a song.
399,train,sem_0221,social:front_time,para3,order,"Now, We help a friend."
400,train,sem_0176,call:decl,para3,lex,I phone my mother.
401,train,sem_seed_eat_perfect_pr,eat:perfect_pr,singleton,single-seed,She has had lunch.
402,train,sem_single_0939,learn:wh_where,singleton,single,Where do We study?
403,train,sem_0109,call:front_place,para3,order,"at the park, He text my mother."
404,train,sem_single_0968,move:emph_do,singleton,single,You did arrive at the cafe.
405,train,sem_0181,drink:decl,para3,base,He sip water.
406,train,sem_0126,acq:going_to,para3,tense,He is going to get a computer.
407,train,sem_0075,social:decl,para3,lex,She make tea.
408,train,sem_0089,acq:decl,para3,base,I pick a sandwich.
409,train,sem_0213,pref:decl,para3,base,We love water.
410,train,sem_seed_watch_future_will,watch:future_will,singleton,single-seed,We will view a show.
411,train,sem_0088,acq:decl,para3,base,They buy pizza.
412,train,sem_0096,drink:front_place,para3,order,"in home, I drink tea."
413,train,sem_0139,learn:decl,para3,base,You review a book.
414,train,sem_0085,pref:future_will,para3,tense,They will love a sandwich.
