id,split,semantic_id,pattern_id,group_tag,role,text,semantic_same_ids,tfidf_top1_id,tfidf_top2_id,tfidf_top3_id,tfidf_top4_id,tfidf_top5_id,tfidf_top6_id,tfidf_top7_id,tfidf_top8_id,tfidf_top9_id,tfidf_top10_id,tfidf_top11_id,tfidf_top12_id,bm25_top1_id,bm25_top2_id,bm25_top3_id,bm25_top4_id,bm25_top5_id,bm25_top6_id,bm25_top7_id,bm25_top8_id,bm25_top9_id,bm25_top10_id,bm25_top11_id,bm25_top12_id,jaccard_top1_id,jaccard_top2_id,jaccard_top3_id,jaccard_top4_id,jaccard_top5_id,jaccard_top6_id,jaccard_top7_id,jaccard_top8_id,jaccard_top9_id,jaccard_top10_id,jaccard_top11_id,jaccard_top12_id,tfidf_top_ids,bm25_top_ids,jaccard_top_ids,overlap2_3metrics_ids,overlap2_3metrics_count,overlap3_3metrics_ids,overlap3_3metrics_count,text_len_char,text_len_word,tf_idf_tops,jaccard_tops,bm25_tops,overlap2,overlap3,U2,U3,nvidia/llama-embed-nemotron-8b,neighbors_union,neighbors_union_count,qwen3-4b,qwen3-8b
10,train,sem_single_0917,eat:front_place,singleton,single,"at the library, He order a sandwich.",,14,624.0,604.0,646.0,354.0,317.0,346.0,741.0,908.0,210.0,264.0,304.0,489,264,183,346,12.0,741.0,379.0,961.0,210.0,584.0,228.0,883.0,489,48.0,911.0,741.0,264.0,624.0,16.0,14.0,38.0,604.0,513.0,646.0,14;624;604;646;354;317;346;741;908;210;264;304,489;264;183;346;12;741;379;961;210;584;228;883,489;48;911;741;264;624;16;14;38;604;513;646,14;210;264;346;489;604;624;646;741,9,264;741,2,36,7,14;624;604;646;354;317;346;741;210;908;264;961,489;48;264;741;911;14;16;38;513;604;624;646,489;12;346;183;264;14;604;624;646;961;379;210,14;210;264;346;489;604;624;646;741;961,14;264;604;624;646,14;210;264;346;489;604;624;646;741;961,14;264;604;624;646,,,0,,
11,train,sem_seed_eat_past_simple,eat:past_simple,singleton,single-seed,They ordered dinner.,,211,976.0,520.0,268.0,157.0,883.0,847.0,65.0,663.0,784.0,,,211,847,420,976,978.0,41.0,120.0,864.0,326.0,883.0,,,211,978.0,976.0,420.0,864.0,,,,,,,,211;976;520;268;157;883;847;65;663;784,211;847;420;976;978;41;120;864;326;883,211;978;976;420;864,211;420;847;864;883;976;978,7,211;976,2,20,3,211;976;520;157;268;883;847;663,211;420;976;978;864,211;847;978;976;420;120;41;864;326;883;686;253,211;420;847;864;883;976;978,211;976,211;420;847;864;883;976;978,211;976,976;268;211;520;420;157;784;847;978,157;211;268;420;520;784;847;921;976;978;987,11,211;976;157;268;520;987;847;921,211;976;157;268;520;987;847;921
12,train,sem_0003,move:decl,para4,base,We arrive at the library.,346;379;649,379,346.0,61.0,873.0,874.0,183.0,338.0,82.0,140.0,404.0,224.0,554.0,346,61,379,874,873.0,744.0,140.0,338.0,977.0,404.0,183.0,210.0,346,61.0,379.0,874.0,82.0,378.0,338.0,146.0,183.0,140.0,977.0,873.0,379;346;61;873;874;183;338;82;140;404;224;554,346;61;379;874;873;744;140;338;977;404;183;210,346;61;379;874;82;378;338;146;183;140;977;873,61;82;140;183;338;346;379;404;873;874;977,11,61;140;183;338;346;379;873;874,8,25,5,379;346;61;874;873;338;183;140;82;554;544;404,346;61;379;874;82;140;146;183;338;378;744;873,346;61;874;379;140;873;977;744;338;183;404;554,61;82;140;183;338;346;379;404;554;744;873;874,61;140;183;338;346;379;873;874,61;82;140;183;338;346;379;404;554;649;744;873;874,61;140;183;338;346;379;649;873;874,379;346;82,82;346;379;544,4,379;346;82;544,379;346;82;544
13,train,sem_single_0920,acq:wh_where,singleton,single,Where do I buy?,,425,946.0,993.0,232.0,310.0,894.0,162.0,,,,,,425,894,946,993,310.0,232.0,575.0,694.0,162.0,402.0,143.0,280.0,993,310.0,425.0,232.0,946.0,894.0,253.0,271.0,189.0,402.0,575.0,694.0,425;946;993;232;310;894;162,425;894;946;993;310;232;575;694;162;402;143;280,993;310;425;232;946;894;253;271;189;402;575;694,162;232;310;402;425;575;694;894;946;993,10,232;310;425;894;946;993,6,15,4,425;946;993;310;232;894,232;310;425;894;946;993;253;143;162;189;254;271,425;894;310;946;993;232;796;575;694;402;143;280,143;232;310;425;894;946;993,232;310;425;894;946;993,143;232;310;425;894;946;993,232;310;425;894;946;993,425;993,425;993,2,425;993,425;993
14,train,sem_0273,eat:decl,para3,base,She order a sandwich.,,624,604.0,646.0,317.0,354.0,10.0,908.0,741.0,393.0,366.0,500.0,584.0,646,624,604,317,354.0,908.0,741.0,10.0,584.0,623.0,456.0,818.0,646,456.0,818.0,624.0,604.0,623.0,559.0,354.0,908.0,317.0,15.0,860.0,624;604;646;317;354;10;908;741;393;366;500;584,646;624;604;317;354;908;741;10;584;623;456;818,646;456;818;624;604;623;559;354;908;317;15;860,10;317;354;456;584;604;623;624;646;741;818;908,12,317;354;604;624;646;908,6,21,4,624;604;646;317;354;10;908;741;393;584;366;818,456;604;623;624;646;818;15;317;354;559;908;860,646;624;604;354;908;317;788;921;456;623;818;741,317;354;456;604;623;624;646;741;818;908,317;354;604;624;646;818;908,317;354;456;604;623;624;646;741;818;908,317;354;604;624;646;818;908,788;921;624;818;604;623;211,211;354;366;500;604;623;624;646;678;749;788;818;860;921,14,604;624;623;646;818;788;860;366;354;749;678;500,604;624;623;646;818;788;860;366;354;749;678;500
15,train,sem_0053,eat:front_time,para4,order,"Now, She have a sandwich.",623;818;921,818,118.0,559.0,80.0,678.0,623.0,100.0,910.0,500.0,944.0,763.0,960.0,818,559,317,80,118.0,678.0,763.0,960.0,944.0,100.0,272.0,20.0,818,559.0,118.0,14.0,456.0,678.0,80.0,623.0,944.0,960.0,272.0,317.0,818;118;559;80;678;623;100;910;500;944;763;960,818;559;317;80;118;678;763;960;944;100;272;20,818;559;118;14;456;678;80;623;944;960;272;317,80;100;118;272;317;559;623;678;763;818;944;960,12,80;118;559;678;818;944;960,7,25,5,818;118;80;678;559;623;763;99;960;617;317;38,818;559;14;80;118;456;623;678;20;100;272;317,818;559;317;80;678;118;960;763;944;100;20;272,20;80;100;118;272;317;559;623;678;763;818;960,80;118;317;559;678;818,20;80;100;118;272;317;559;623;678;763;818;921;960,80;118;317;559;623;678;818;921,818;559;623,559;623;818,3,818;559;623,818;559;623
16,train,sem_0117,drink:decl,para3,lex,He drink a sandwich.,218;658,456,766.0,408.0,513.0,500.0,100.0,118.0,818.0,910.0,617.0,171.0,80.0,456,766,513,38,113.0,504.0,899.0,910.0,911.0,489.0,10.0,584.0,456,38.0,513.0,504.0,899.0,113.0,910.0,766.0,911.0,10.0,489.0,956.0,456;766;408;513;500;100;118;818;910;617;171;80,456;766;513;38;113;504;899;910;911;489;10;584,456;38;513;504;899;113;910;766;911;10;489;956,10;38;113;456;489;504;513;766;899;910;911,11,456;513;766;910,4,20,4,456;513;408;118;818;641;617;171;80;108;678;766,38;456;513;113;504;899;910;766;10;489;911;14,456;766;38;513;910;899;504;113;911;489;10;584,10;38;113;456;489;504;513;766;899;910;911,456;513;766,10;38;113;218;456;489;504;513;658;766;899;910;911,218;456;513;658;766,456;766,456;766,2,456,456
17,train,sem_0133,move:decl,para3,lex,She travel to the town.,286;619,322,313.0,998.0,549.0,673.0,148.0,449.0,287.0,973.0,809.0,397.0,224.0,322,286,397,619,691.0,313.0,449.0,549.0,998.0,673.0,304.0,287.0,286,322.0,619.0,397.0,691.0,313.0,673.0,549.0,71.0,300.0,934.0,715.0,322;313;998;549;673;148;449;287;973;809;397;224,322;286;397;619;691;313;449;549;998;673;304;287,286;322;619;397;691;313;673;549;71;300;934;715,286;287;313;322;397;449;549;619;673;691;998,11,313;322;397;549;673,5,23,5,322;998;313;549;449;148;673;287;809;608;397;352,286;322;619;313;397;691;2;29;71;224;287;300,322;286;313;397;619;449;673;304;549;998;287;691,286;287;313;322;397;449;549;619;673;691;998,287;313;322;397,286;287;313;322;397;449;549;619;673;691;998,286;287;313;322;397;619,322;313;286,286;313;322;415;556;642;691;715;973,9,642;715;973;691;286;556;415,642;715;973;691;286;556;415
18,train,sem_seed_acq_going_to,acq:going_to,singleton,single-seed,I am going to order dinner.,,520,268.0,157.0,976.0,663.0,381.0,893.0,96.0,84.0,228.0,,,893,96,520,663,84.0,947.0,381.0,173.0,976.0,157.0,268.0,466.0,893,520.0,96.0,663.0,84.0,947.0,173.0,466.0,381.0,,,,520;268;157;976;663;381;893;96;84;228,893;96;520;663;84;947;381;173;976;157;268;466,893;520;96;663;84;947;173;466;381,84;96;157;173;268;381;466;520;663;893;947;976,12,84;96;381;520;663;893,6,27,6,520;157;268;976;663;381;96;893;84;228;883,520;893;96;84;663;173;381;466;947,893;520;96;84;663;268;976;157;947;381;173;51,84;96;157;173;268;381;520;663;893;947;976,84;96;381;520;663;893,84;96;157;173;268;381;520;663;893;947;976,84;96;381;520;663;893,520;663;787,120;268;381;520;565;663;787,7,520;663;787;268;565;381;120,520;663;787;268;565;381;120
19,train,sem_0031,social:going_to,para4,tense,He is going to use a phone.,569;645;898,901,645.0,561.0,806.0,615.0,614.0,898.0,866.0,150.0,703.0,745.0,406.0,645,898,406,866,614.0,150.0,988.0,615.0,703.0,561.0,806.0,745.0,645,150.0,866.0,406.0,614.0,898.0,703.0,615.0,427.0,561.0,745.0,806.0,901;645;561;806;615;614;898;866;150;703;745;406,645;898;406;866;614;150;988;615;703;561;806;745,645;150;866;406;614;898;703;615;427;561;745;806,150;406;561;614;615;645;703;745;806;866;898,11,150;406;561;614;615;645;703;745;806;866;898,11,27,7,645;901;561;806;898;615;614;150;866;36;703;745,645;150;406;614;866;898;615;703;427;561;745;806,645;898;615;703;614;406;866;150;988;901;806;561,150;406;561;614;615;645;703;745;806;866;898;901,150;561;614;615;645;703;806;866;898,150;406;561;569;614;615;645;703;745;806;866;898;901,150;561;569;614;615;645;703;806;866;898,645,561;645;806,3,645;561;806,645;561;806
20,train,sem_seed_learn_front_time,learn:front_time,singleton,single-seed,"Now, She review a song.",,260,629.0,515.0,272.0,926.0,859.0,364.0,777.0,587.0,477.0,989.0,85.0,260,926,629,515,272.0,15.0,364.0,777.0,827.0,771.0,180.0,989.0,180,260.0,515.0,827.0,771.0,989.0,629.0,272.0,15.0,57.0,926.0,530.0,260;629;515;272;926;859;364;777;587;477;989;85,260;926;629;515;272;15;364;777;827;771;180;989,180;260;515;827;771;989;629;272;15;57;926;530,15;180;260;272;364;515;629;771;777;827;926;989,12,260;272;515;629;926;989,6,23,5,260;629;515;272;859;587;777;926;364;789;477;85,180;260;515;629;771;827;989;15;57;272;926;530,260;926;515;629;364;272;15;989;180;827;771;609,15;180;260;272;364;515;629;771;827;926;989,260;272;515;629;926,15;180;260;272;364;515;629;771;827;926;989,260;272;515;629;926,260;364,260;364,2,260,260
21,train,sem_0172,drink:decl,para3,lex,We drink water.,227;306,546,323.0,793.0,990.0,576.0,766.0,641.0,,,,,,323,546,793,990,409.0,812.0,551.0,963.0,576.0,280.0,128.0,452.0,323,409.0,576.0,546.0,812.0,551.0,793.0,128.0,452.0,963.0,280.0,,546;323;793;990;576;766;641,323;546;793;990;409;812;551;963;576;280;128;452,323;409;576;546;812;551;793;128;452;963;280,128;280;323;409;452;546;551;576;793;812;963;990,12,323;546;576;793,4,15,3,546;323;793;990;576;641,323;409;546;551;576;812;128;280;452;793;963,323;546;793;551;812;409;576;990;963;128;452;280,128;280;323;409;452;546;551;576;793;812;963;990,323;546;576;793,128;227;280;306;323;409;452;546;551;576;793;812;963;990,227;306;323;546;576;793,323;793;551;812,323;409;546;551;793;812;963,7,323;551;812;963;793;546;409,323;551;812;963;793;546;409
22,train,sem_0135,call:present_cont,para3,tense,You are contacting my mother.,56;739,631,739.0,285.0,714.0,391.0,817.0,291.0,,,,,,823,739,714,434,370.0,676.0,631.0,599.0,400.0,701.0,58.0,367.0,739,714.0,434.0,823.0,,,,,,,,,631;739;285;714;391;817;291,823;739;714;434;370;676;631;599;400;701;58;367,739;714;434;823,434;631;714;739;823,5,714;739,2,29,5,631;739;285;714,739;714;434;823,739;823;714;257;693;285;676;328;367;368;701;265,285;714;739;823,714;739,56;285;714;739;823,56;714;739,739;285;714;631;328,285;328;631;714;739,5,739;714;631;285,739;714;631;285
23,train,sem_0309,move:decl,para3,lex,I jog to the cafe.,212;554,352,669.0,948.0,783.0,286.0,429.0,591.0,535.0,853.0,718.0,195.0,665.0,948,352,669,429,853.0,286.0,718.0,535.0,665.0,591.0,783.0,288.0,669,352.0,948.0,429.0,591.0,783.0,769.0,71.0,853.0,608.0,450.0,286.0,352;669;948;783;286;429;591;535;853;718;195;665,948;352;669;429;853;286;718;535;665;591;783;288,669;352;948;429;591;783;769;71;853;608;450;286,286;352;429;535;591;665;669;718;783;853;948,11,286;352;429;591;669;783;853;948,8,18,5,352;669;948;783;286;429;591;853;535;195;665,352;669;948;429;71;286;450;591;608;753;769;783,669;352;948;429;286;853;783;591;718;535;665;195,195;286;352;429;535;591;665;669;783;853;948,286;352;429;591;669;783;948,195;212;286;352;429;535;554;591;665;669;783;853;948,212;286;352;429;554;591;669;783;948,669;948;352,352;669;948,3,669;948,669;948
24,train,sem_0082,learn:front_place,para3,order,"at home, He practice music.",187;775,187,91.0,545.0,502.0,269.0,702.0,321.0,333.0,543.0,,,,545,187,91,874,554.0,212.0,165.0,502.0,227.0,129.0,195.0,302.0,545,187.0,634.0,789.0,316.0,,,,,,,,187;91;545;502;269;702;321;333;543,545;187;91;874;554;212;165;502;227;129;195;302,545;187;634;789;316,91;187;502;545,4,187;545,2,27,5,187;91;545;502;269;321;702;333;543,545;187;316;634;789,187;545;165;554;212;874;502;91;227;195;789;316,91;187;316;502;545;789,187;545,91;187;316;502;545;775;789,187;545;775,545;187,187;545,2,187;545,187;545
25,train,sem_0096,drink:decl,para3,lex,I sip coffee.,236;412,555,929.0,815.0,192.0,655.0,538.0,36.0,428.0,562.0,904.0,632.0,666.0,555,815,655,929,538.0,192.0,36.0,440.0,428.0,654.0,999.0,382.0,929,654.0,815.0,655.0,440.0,555.0,428.0,192.0,382.0,538.0,999.0,225.0,555;929;815;192;655;538;36;428;562;904;632;666,555;815;655;929;538;192;36;440;428;654;999;382,929;654;815;655;440;555;428;192;382;538;999;225,36;192;382;428;440;538;555;654;655;815;929;999,12,192;428;538;555;655;815;929,7,13,3,555;929;815;655;192;538;36;428;562;440,428;440;555;654;655;815;929;189;192;225;382;538,555;929;655;815;538;192;428;440;654;36;999;382,36;192;382;428;440;538;555;654;655;815;929,192;428;440;538;555;655;815;929,36;192;236;382;412;428;440;538;555;654;655;815;929,192;236;412;428;440;538;555;655;815;929,428;815;655;507;929;576;555,166;192;428;507;555;576;654;655;815;835;893;929,12,815;428;655;555;192;929;576;166;893;507;835;654,815;428;655;555;192;929;576;166;893;507;835;654
26,train,sem_0144,call:decl,para3,lex,She call a friend.,202;875,178,416.0,799.0,295.0,350.0,776.0,205.0,862.0,380.0,355.0,34.0,581.0,799,416,178,350,355.0,295.0,369.0,297.0,257.0,45.0,264.0,605.0,355,350.0,416.0,178.0,799.0,295.0,369.0,297.0,264.0,336.0,581.0,659.0,178;416;799;295;350;776;205;862;380;355;34;581,799;416;178;350;355;295;369;297;257;45;264;605,355;350;416;178;799;295;369;297;264;336;581;659,178;264;295;297;350;355;369;416;581;799,10,178;295;350;355;416;799,6,18,4,178;416;799;295;350;776;862;380;356;355;34;581,178;350;355;416;295;799;297;369;264;14;34;45,416;178;799;355;350;295;45;257;369;297;605;264,34;45;178;264;295;297;350;355;369;416;799,178;295;350;355;416;799,34;45;178;202;264;295;297;350;355;369;416;799;875,178;202;295;350;355;416;799;875,178;350;416;355;799,178;297;350;355;356;416;799;952,8,178;297;356;350;952;799,178;297;356;350;952;799
27,train,sem_0014,pref:future_will,para4,tense,He will enjoy a novel.,457;541;867,541,336.0,372.0,457.0,361.0,519.0,626.0,540.0,603.0,798.0,,,541,457,336,372,519.0,540.0,626.0,361.0,316.0,851.0,508.0,899.0,541,457.0,374.0,336.0,167.0,231.0,361.0,519.0,499.0,540.0,372.0,508.0,541;336;372;457;361;519;626;540;603;798,541;457;336;372;519;540;626;361;316;851;508;899,541;457;374;336;167;231;361;519;499;540;372;508,336;361;372;457;508;519;540;541;626,9,336;361;372;457;519;540;541,7,22,5,541;336;372;361;457;519;540;603,541;457;167;231;336;374;361;372;499;508;519;540,541;457;336;372;361;540;626;519;316;167;374;231,167;231;336;361;372;374;457;519;540;541,336;361;372;457;519;540;541,167;231;336;361;372;374;457;519;540;541;867,336;361;372;457;519;540;541;867,541,161;167;336;361;372;374;519;539;540;541;854,11,541;161;372;336;167;540;854;361;539;374;519,541;161;372;336;167;540;854;361;539;374;519
28,train,sem_seed_learn_emph_do,learn:emph_do,singleton,single-seed,I do practice a book.,,502,752.0,333.0,543.0,702.0,321.0,340.0,537.0,347.0,187.0,,,502,752,537,347,333.0,704.0,360.0,394.0,4.0,477.0,939.0,733.0,477,333.0,939.0,704.0,752.0,394.0,4.0,360.0,502.0,926.0,290.0,585.0,502;752;333;543;702;321;340;537;347;187,502;752;537;347;333;704;360;394;4;477;939;733,477;333;939;704;752;394;4;360;502;926;290;585,4;333;347;360;394;477;502;537;704;752;939,11,333;502;752,3,21,5,502;752;333;702;543;321;340;537;187;347,4;333;360;394;477;502;704;752;939;77;290;585,752;502;333;537;347;704;939;477;4;360;394;702,4;333;347;360;394;477;502;537;702;704;752;939,333;502;752,4;333;347;360;394;477;502;537;702;704;752;939,333;502;752,,333;340;502;752,4,752;502;340;333,752;502;340;333
29,train,sem_0303,move:decl,para3,lex,She come to the station.,322;397,292,583.0,89.0,396.0,948.0,730.0,769.0,803.0,753.0,322.0,2.0,998.0,292,583,396,934,2.0,322.0,691.0,397.0,608.0,82.0,855.0,945.0,2,396.0,292.0,583.0,322.0,934.0,397.0,691.0,17.0,853.0,591.0,948.0,292;583;89;396;948;730;769;803;753;322;2;998,292;583;396;934;2;322;691;397;608;82;855;945,2;396;292;583;322;934;397;691;17;853;591;948,2;292;322;396;397;583;691;934;948,9,2;292;322;396;583,5,24,5,292;583;396;948;730;89;769;322;753;2;998;803,2;292;322;396;583;934;397;691;17;82;224;286,583;292;2;934;396;322;691;397;855;82;608;549,2;82;292;322;396;397;583;691;934,2;292;322;396;583,2;82;292;322;396;397;583;691;934,2;292;322;396;397;583,292;322;396;583;2;89,2;89;140;292;322;396;397;467;526;583;662;670;717;730;998,15,292;322;397;998;583;89;662;730;526;467;670;140;717,292;322;397;998;583;89;662;730;526;467;670;140;717
