dataset,model,anchor_text,neighbor_text,space,rank,cosine_similarity,gold_label_or_score,lexical_overlap,notes
quora,qwen-4b,How does the stock market work?,How does the stock market work?,ZCA-whitened,1,0.996,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Why can't I find a job?,Why can't I find a job?,ZCA-whitened,1,0.9957,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Why do people believe in God?,Why do people believe in god?,ZCA-whitened,1,0.962,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Why don't I get matches on Tinder?,Why don't I get matches on tinder?,ZCA-whitened,1,0.9612,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is bitcoin?,What is Bitcoin?,ZCA-whitened,2,0.9373,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Who is the Prime Minister of India?,Who is the prime minister of India?,ZCA-whitened,5,0.8578,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is the difference between molar mass and molecular mass?,What is the difference between molecular mass and molar mass?,ZCA-whitened,1,0.8224,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Who is the Prime Minister of India?,Who is the  Prime Minister of India?,ZCA-whitened,7,0.7851,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is the difference between public and private sector?,What is difference between the private and public sector?,ZCA-whitened,1,0.7423,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,HH,Hh,ZCA-whitened,2,0.1635,not_duplicate,1.0,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What are the safety precautions on handling shotguns proposed by the NRA in the entire U.S. including it’s territories and possessions? 1,What are the safety precautions on handling shotguns proposed by the NRA in the entire U.S. including it’s territories and possessions?,ZCA-whitened,4,0.9891,not_duplicate,0.95,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Which is the best app to earn free Google play gift cards in India?,Which is the best app to earn Google Play gift cards in India?,ZCA-whitened,1,0.9321,not_duplicate,0.929,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What are some mind-blowing car help tools that exist that most people don't know about?,What are some mind-blowing Car tools that exist that most people don't know about?,ZCA-whitened,1,0.8659,not_duplicate,0.929,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,How much does it cost to own a gas station in the canada and how much do you make per year if you employ people to run it for you?,How much does it cost to own a gas station in the US and how much do you make per year if you employ people to run it for you?,ZCA-whitened,2,0.8654,not_duplicate,0.923,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What type of gift should I give my girlfriend on her birthday?,What type of gift should I give my girlfriend on her 19th birthday?,ZCA-whitened,1,0.8568,not_duplicate,0.923,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What are the best new phone inventions that most people don't know about?,What are the best new inventions that most people don't know about?,ZCA-whitened,4,0.7953,not_duplicate,0.923,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What are some mind-blowing car technology tools that most people don't know about?,What are some mind-blowing technology tools that most people don't know about?,ZCA-whitened,9,0.7116,not_duplicate,0.923,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What should I do if my dog swallowed a chicken bone?,What should I do if my dog swallowed a thick chicken bone?,ZCA-whitened,1,0.9398,not_duplicate,0.917,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Why do Americans girls disconnect the chat immediately if I tell them that I'm an Indian? What is their perception about Indian guys?,Why do Mexican girls disconnect the chat immediately if I tell them that I'm an Indian? What is their perception about Indian guys?,ZCA-whitened,2,0.7009,not_duplicate,0.917,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,What is one characteristic that you believe every leader should possess?,What is that one characteristic you believe every leader should not possess?,ZCA-whitened,2,0.6216,not_duplicate,0.917,"mined but not duplicate, jaccard>= 0.5"
quora,qwen-4b,Which is the best service whirlpool microwave oven repair center in hyderabad?,Which is the best Whirlpool microwave oven repair center in Hyderabad?,ZCA-whitened,8,0.5424,not_duplicate,0.917,"mined but not duplicate, jaccard>= 0.5"
