dataset,split,model_nickname,hf_model_id,embedding_type,method,r,seed,fit_size,eval_size,metric_name,metric_value,std_if_available,cond_number,offdiag_cov,avg_feature_std,anisotropy_mean,notes
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,40,"[42, 43, 44]",2000,10000,ndcg@10,44.4288,0.0423,1.3724,,,,variant=no_both trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8052,0.1972,1.5085,,,,variant=no_both trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_both,160,"[42, 43, 44]",2000,10000,ndcg@10,62.7416,0.09,1.695,,,,variant=no_both trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,40,"[42, 43, 44]",2000,10000,ndcg@10,37.1319,0.1276,2.7303,,,,variant=no_qr trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,80,"[42, 43, 44]",2000,10000,ndcg@10,46.4151,0.6282,3.8574,,,,variant=no_qr trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_qr,160,"[42, 43, 44]",2000,10000,ndcg@10,50.6434,0.3433,5.9282,,,,variant=no_qr trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,40,"[42, 43, 44]",2000,10000,ndcg@10,44.4123,0.0207,1.3759,,,,variant=no_hardneg trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8089,0.1991,1.5085,,,,variant=no_hardneg trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_hardneg,160,"[42, 43, 44]",2000,10000,ndcg@10,62.745,0.092,1.695,,,,variant=no_hardneg trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,40,"[42, 43, 44]",2000,10000,ndcg@10,44.4123,0.0207,1.3759,,,,variant=no_refinement trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,80,"[42, 43, 44]",2000,10000,ndcg@10,56.8089,0.1991,1.5085,,,,variant=no_refinement trainer=ncwp_ref
quora,test,qwen-4b,Qwen/Qwen1.5-4B,mean_pool,NCWP_no_refinement,160,"[42, 43, 44]",2000,10000,ndcg@10,62.745,0.092,1.695,,,,variant=no_refinement trainer=ncwp_ref
